Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
8119640;14454817;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1812
8119640;14455085;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;19;985
8119692;14455462;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1546
8119692;14455904;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1955
8120142;14454020;2;50;raitiovaunu;-1;Ei arvoa;-1;Ei arvoa;;
8120142;14454607;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1055
8772231;15644257;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8772559;15644359;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8772673;15644313;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8772674;15644630;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8120592;14454348;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8119778;14453958;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;20;890
8119778;14455437;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1623
8772675;15644650;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8120676;14453621;2;50;raitiovaunu;-1;Ei arvoa;-1;Ei arvoa;;
8120676;14453628;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1098
8120141;14453883;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1375
8120141;14454111;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1230
8120037;14455367;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;11;8550
8120037;14455656;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;5;1795
8119826;14454323;4;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1651
