OnnettomuusID;Tienpitäjä;Tieosoite;Ajorata;Tie;Osa;Etaisyys;x-koordinaatti;y-koordinaatti;ELY-keskus;Maakunta;Kunta;Katuosoite;Vuosi;Kuukausi;Onnettomyystyyppi;Onnettomuustyyppi_nro;Vakavuus;Osallisten lkm;Onnettomuusluokka;Liikennevalot;Raskaan liikenteen onnettomuus;Tietyö;Onnettomuuspaikka;Liittymäjärjestelyt;Viikonpäivä;Pinta;Valoisuus;Lämpötila?;Sää;Nopeusrajoitus;Verkollinen asema;Päällyste;Talvihoitoluokitus;Toiminnallinen luokka;Rautatie;Taajama;KVL;KVL raskas;Näkemäprosentti yli 150;Näkemäprosentti yli 300;Näkemäprosentti yli 450;Näkemän pituus
609989;Väylävirasto;140/4/462;;140;4;462;394695;6683642;Uudenmaan ELY;Uusimaa;Vantaa;LAHDENTIE;2022;8;peräänajo jarruttavaan ajoneuvoon;6;Loukkaantumiseen johtanut;2;peräänajo-onnettomuus;;false;false;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;23;kirkas;60;;kestopäällyste;;;Ei tasoristeystä;false;;;;;;
609990;Kunta;;;;;;479854;6756465;Kaakkois-Suomen ELY;Kymenlaakso;Kouvola;KUUSAANTIE;2022;6;muu onnettomuus;99;Ei henkilövahinkoja;0;muu onnettomuus;;false;false;;;ke;paljas, kuiva;päivänvalo;14;pilvipouta;;;muu;;;Ei tasoristeystä;true;;;;;;
609991;Väylävirasto;2012/1/413;;2012;1;413;238183;6716500;Varsinais-Suomen ELY;Varsinais-Suomi;Raisio;KUNINKOJANTIE X KUNINKAANVÄYLÄ;2022;9;kääntyminen oikealle toisen eteen tai kylkeen;50;Ei henkilövahinkoja;2;mopedionnettomuus;;false;false;suojatie;linjaonnettomuus;la;paljas, märkä;päivänvalo;12;pilvipouta;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
609992;Väylävirasto;9/224/7242;0;9;224;7242;409875;6862935;Keski-Suomen ELY;Keski-Suomi;Jämsä;VT9 /Himoksen risteys;2022;11;muu peräänajo liikkuvaan ajoneuvoon;7;Ei henkilövahinkoja;2;peräänajo-onnettomuus;;false;false;ajorata;linjaonnettomuus;to;paljas, märkä;tie valaistu;5;vesisade;30;;kestopäällyste;Is;Valtatie;Ei tasoristeystä;false;;;100;78;44;509
609993;Kunta;;;;;;371561;6672908;Uudenmaan ELY;Uusimaa;Espoo;PISANNIITTY 2 A 9;2022;1;suistuminen vasemmalle suoralla;81;Ei henkilövahinkoja;0;muu onnettomuus;;false;false;ajorata;linjaonnettomuus;la;luminen;tie valaistu;?1;lumisade;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
609994;Väylävirasto;22.12.9655;0;22;12;9655;471996;7182085;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Utajärvi;VT22;2022;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;jäinen;tie valaistu;?5;pilvipouta;60;Tieto puuttuu;kestopäällyste;Is;Valtatie;Ei tasoristeystä;false;;;100;82;44;
609995;Väylävirasto;663/11/2934;0;663;11;2934;250924;6930018;Etelä-Pohjanmaan ELY;Etelä-Pohjanmaa;Kauhajoki;ETELÄINEN YHDYSTIE X PÄNTÄNEENTIE;2022;1;muu risteämisonnettomuus, ei kääntymistä;49;Loukkaantumiseen johtanut;2;risteämisonnettomuus;;true;false;ajorata;kärkikolmio;la;luminen;tie valaistu;?4;pilvipouta;50;Sisääntulotie kaava-alueella;kestopäällyste;I;Seututie;Ei tasoristeystä;true;3 161;153;;;;
609996;Väylävirasto;273/7/851;0;273;7;851;268835;6897720;Varsinais-Suomen ELY;Satakunta;Karvia;KYLÄKARVIANTIE;2022;1;muu törmäys käännyttäessä vasemmalle;13;Ei henkilövahinkoja;2;kääntymisonnettomuus;;false;false;ajorata;kärkikolmio;la;jäinen;päivänvalo;?8;kirkas;40;Läpikulku-/sisääntulotie kaava-alueella;kestopäällyste;Ib;Seututie;Ei tasoristeystä;false;;;95;71;49;
609997;Kunta;;;;;;337282;6682552;Uudenmaan ELY;Uusimaa;Lohja;LAURINKATU;2022;1;muu kohtaamisonnettomuus, ei kääntymistä;29;Ei henkilövahinkoja;4;kohtaamisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;luminen;tie valaistu;?2;lumisade;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
609998;Väylävirasto;4/542/3318;0;4;542;3318;504217;7561402;Lapin ELY;Lappi;Sodankylä;IVALONTIE;2022;1;suistuminen oik. oikealle kääntyvässä kaarteessa;82;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;jäinen;päivänvalo;?13;pilvipouta;100;;kestopäällyste;Ib;Valtatie;Ei tasoristeystä;false;;;100;92;43;
610000;Väylävirasto;1950/1/6527;0;1950;1;6527;221091;6737253;Varsinais-Suomen ELY;Varsinais-Suomi;Mynämäki;VEHMAANTIE 600;2022;1;suistuminen oik. vasemmalle kääntyvässä kaarteessa;84;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;jäinen;tie valaistu;?2;pilvipouta;50;;kestopäällyste;Ic;Yhdystie;Ei tasoristeystä;false;1 432;61;86;43;19;
610002;Väylävirasto;7000/6/2668;0;7000;6;2668;273475;6982388;Etelä-Pohjanmaan ELY;Etelä-Pohjanmaa;Seinäjoki;KÖNNINTIE;2022;1;suistuminen oik. oikealle kääntyvässä kaarteessa;82;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;jäinen;päivänvalo;?9;kirkas;80;;kestopäällyste;III;Yhdystie;Ei tasoristeystä;false;209;15;48;14;1;65
610003;Muu;;;;;;411227;6861461;Keski-Suomen ELY;Keski-Suomi;Jämsä;HIMOSHUIPUNTIE X LÄNSIHUIPPUNTIE;2022;1;muu tieltä suistuminen;89;Ei henkilövahinkoja;0;muu onnettomuus;;false;false;ajorata;linjaonnettomuus;la;luminen;tie valaistu;?4;pilvipouta;50;;öljysora tai vast;;;Ei tasoristeystä;true;;;;;;
610004;Kunta;;;;;;346447;7128194;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Kalajoki;MATKAILUTIE;2022;1;suistuminen vas. oikealle kääntyvässä kaarteessa;83;Ei henkilövahinkoja;0;muu onnettomuus;;false;false;ajorata;linjaonnettomuus;la;luminen;tie valaistu;?6;pilvipouta;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
610005;Kunta;;;;;;440753;7377608;Lapin ELY;Lappi;Rovaniemi;Hillapolku 9;2022;1;kääntyminen vasemmalle toisen eteen tai kylkeen;52;Ei henkilövahinkoja;0;risteämisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;luminen;tie valaistu;?8;pilvipouta;40;;kestopäällyste;;;Ei tasoristeystä;false;;;;;;
610006;Väylävirasto;11927/3/529;0;11927;3;529;470136;6692710;Uudenmaan ELY;Uusimaa;Loviisa;SAARISTOTIE;2022;1;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;;true;false;ajorata;linjaonnettomuus;la;jäinen;hämärä;?9;pilvipouta;80;;sora;II;Yhdystie;Ei tasoristeystä;false;;;56;15;3;
610007;Kunta;;;;;;241443;6709986;Varsinais-Suomen ELY;Varsinais-Suomi;Turku;Hippoksentie 33;2022;1;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;8;Ei henkilövahinkoja;0;peräänajo-onnettomuus;;false;false;suojatie;linjaonnettomuus;la;jäinen;tie valaistu;?6;kirkas;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
610008;Väylävirasto;1311/2/8;0;1311;2;8;379415;6705270;Uudenmaan ELY;Uusimaa;Nurmijärvi;HELSINGINTIE X PERTTULANTIE;2022;1;ajo risteäviä ajosuuntia suoraan;40;Ei henkilövahinkoja;2;risteämisonnettomuus;;false;false;ajorata;liikennevalot;la;luminen;tie valaistu;?4;pilvipouta;40;Tieto puuttuu;kestopäällyste;Is;Yhdystie;Ei tasoristeystä;true;6 126;337;99;84;73;405
610009;Kunta;;;;;;424854;7202271;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Oulu;PAPPILANTIE;2022;1;muu onnettomuus;99;Ei henkilövahinkoja;0;muu onnettomuus;;false;false;;linjaonnettomuus;la;;päivänvalo;?7;kirkas;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
610010;Väylävirasto;12157/2/1202;0;12157;2;1202;234702;6706579;Varsinais-Suomen ELY;Varsinais-Suomi;Turku;HÄPPILÄNTIE 122;2022;1;suistuminen vas. oikealle kääntyvässä kaarteessa;83;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;sohjoinen;pimeä (valaisematon);0;lumisade;50;Tieto puuttuu;kestopäällyste;Ib;Yhdystie;Ei tasoristeystä;false;;;;;;
610011;Väylävirasto;28/22/2717;0;28;22;2717;407356;7094405;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Nivala;KAJAANINTIE;2022;1;muu tieltä suistuminen;89;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;jäinen;päivänvalo;?10;kirkas;80;;kestopäällyste;Ib;Valtatie;Ei tasoristeystä;false;;;100;96;79;
610012;Väylävirasto;148/3/105;2;148;3;105;396410;6696032;Uudenmaan ELY;Uusimaa;Kerava;KERAVANTIE;2022;1;muu peräänajo liikkuvaan ajoneuvoon;7;Loukkaantumiseen johtanut;2;peräänajo-onnettomuus;;false;false;ajorata;linjaonnettomuus;la;jäinen;tie valaistu;?10;kirkas;60;;kestopäällyste;Is;Seututie;Ei tasoristeystä;false;;;100;88;46;
610013;Väylävirasto;45/2/671;1;45;2;671;386263;6679383;Uudenmaan ELY;Uusimaa;Helsinki;Tuusulanväylä pohjoiseen;2022;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;jäinen;tie valaistu;?7;kirkas;80;Keskustan ohikulku kaava-alueella;kestopäällyste;Ise;Kantatie;Ei tasoristeystä;false;;;100;84;45;
610015;Väylävirasto;1273598;0;27;12;5386;416677;7071365;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Haapajärvi;VALTAKATU;2022;1;suistuminen vasemmalle suoralla;81;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;luminen;tie valaistu;?8;pilvipouta;60;Tieto puuttuu;kestopäällyste;Is;Valtatie;Ei tasoristeystä;true;;;100;99;79;
610016;Väylävirasto;110/34/7019;0;110;34;7019;246735;6705935;Varsinais-Suomen ELY;Varsinais-Suomi;Kaarina;UUDENMAANTIE;2022;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;luminen;tie valaistu;?1;lumisade;60;Keskustan ohikulku kaava-alueella;kestopäällyste;Is;Seututie;Ei tasoristeystä;false;;;100;88;65;
610017;Kunta;;;;;;379386;6735207;Uudenmaan ELY;Kanta-Häme;Riihimäki;SATURNUKSENKATU;2022;1;muu jalankulkuonnettomuus suojatien ulkopuolella;79;Loukkaantumiseen johtanut;2;jalankulkijaonnettomuus;;false;false;kävely- ja pyörätie;linjaonnettomuus;la;luminen;tie valaistu;?3;pilvipouta;30;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
