OnnettomuusID;Tekninen osallinen ID;Osallisen numero;Osallisen lajikoodi;Perävaunukoodi;Ajolaji;Ajoneuvon ikä;Ajoneuvon massa
609989;cad17b72b6a51142599bdc35e717a9b2;1;Henkilöauto;;;10;1280
609989;d2b420a0e613f7d5b67f3295e51b13a5;2;Henkilöauto;;;26;1110
609990;;;;;;;
609991;526bf6f1ce2aff785db8b4d89ff00450;1;Henkilöauto;;;17;1573
609991;839738aac569e6328db935a446c2279a;2;Mopedi, skootteri;;;15;96
609992;8a410ff310903c5e8e20a4470589045a;1;Henkilöauto;Ei tietoa/arvoa;;16;1520
609992;514562c1e1ec3aa93ca010b80a814420;2;Henkilöauto;Ei tietoa/arvoa;;7;2025
609993;;;;;;;
609994;511756c27691cd47e18b765b9be3bb02;1;Henkilöauto;;;24;1525
609995;82107a08a767df4c98022619682b9820;2;Kuorma-auto;;;6;14300
609995;d0e0e5f46b7169c7b4c65d3dc46f910c;1;Henkilöauto;;;22;1235
609996;2b54c9b013e8ec033dfb8136a4c0ad09;2;Henkilöauto;;;10;1830
609996;3c76d55ff2c36cd5aa8fac3ae0aefb1c;1;Henkilöauto;;;24;1270
609997;4e821c73602e6e00ac2111e35b7d5968;2;Pakettiauto;;;;
609997;50265c36cbc45f358d77fc697dc70218;4;Henkilöauto;;;21;
609997;d9f289889ae3b3df2e73542c834b8677;1;Henkilöauto;;;0;
609997;e79b36685fc6c3f1f7fd84400eb28381;3;Henkilöauto;;;12;1095
609998;4489d1e78ee0d6633c0cf26bbf6deb23;1;Henkilöauto;;;17;1128
610000;b82c10d168a9e99d9fa3990aa227abc4;1;Henkilöauto;;;21;1490
610002;cbeea5ea8af0819f78d96762a596531b;1;Henkilöauto;;;20;1272
610003;;;;;;;
610004;;;;;;;
610005;;;;;;;
610006;0f0a51f0e609b154637742f38f00321d;2;Hirvi;;;;
610006;6655939dd792b8cd1118d4bdeb72ab6e;1;Kuorma-auto;;;17;2200
610007;;;;;;;
610008;4b917f18f37fb3f59ac3713f5810a53e;1;Henkilöauto;;;19;
610008;26953f27eab7cc9f343637c4f14ede6b;2;Henkilöauto;;;3;1157
610009;;;;;;;
610010;5fb491a79a8f87ca5e550a76eaee17e4;1;Henkilöauto;;;17;
610011;b56eaf2af759c023c740ec6ca4f4073a;1;Henkilöauto;;;16;1210
610012;8f401d3246228270523075826929e9d3;2;Henkilöauto;;;17;1025
610012;7487a2b431e5f4f0f8f58a550a96cbea;1;Henkilöauto;;;12;1505
610013;3eb9e11cec25ee8c6ef752631abd9dac;1;Henkilöauto;;;21;
610015;bec11db2b8f22a77ccd99261a1cee414;1;Henkilöauto;;;18;
610016;a73205f0953c7713ec1a07b4ceaf1ff5;1;Henkilöauto;;;15;
610017;3bd2f60492747865bf0b892bcbd2d4a3;1;Henkilöauto;;;;
610017;3db20d39f22150808b32147d5a1c9ace;2;Jalankulkija;;;;
610019;;;;;;;
610021;1d72f01525210b1ff83d63362f290e2b;1;Henkilöauto;;;20;1312
610022;dd14d6c956cdf532e6547e18a4999a47;1;Henkilöauto;;;16;1135
610023;2524ce37d6408070e95ec4d9c53b498e;1;Hirvi;;;;
610023;eb01745ad0d7b0f039c6a83a7c812a14;2;Pakettiauto;;;11;2110
610024;;;;;;;
610025;;;;;;;
610026;c3b56813665121525ab06301da9f14d2;1;Henkilöauto;;;14;
610027;4db6ac6352a9837a949e537336c68365;1;Henkilöauto;;;23;
610029;3abe2f0a684262ad86c0f52cf81ba0ca;3;Jalankulkija;;;;
610029;6b78ab4c26ae595d78f4eb708c58fedd;2;Jalankulkija;;;;
610029;6ee6c58c458e1246d289714287847532;1;Henkilöauto;;;17;1329
610029;bb8a650648897b1f1450897a2c6197d5;4;Jalankulkija;;;;
610030;2fb3a7cbc57e776e1254416ec300589a;2;Henkilöauto;;;9;
610030;9ca5fb668c01fde10cbb0989ba046bfd;1;Hirvi;;;;
610031;f0504fe1f211d514f0ec2f6d583ba748;2;Henkilöauto;;;20;1268
610032;3bae83a21e0c3a129baf485392ca2219;1;Henkilöauto;;;19;
610033;9b6c544e89e24b54d3bf99f2b5f81f29;1;Henkilöauto;;;19;
610033;e861fc5999f412e1cf610dd752ebbf67;2;Hirvi;;;;
610035;ba1373ce40852adc6de2b5dd7fb97ec3;2;Hirvi;;;;
610035;fd039b17e34ceffb870c45254dd6bc3b;1;Henkilöauto;;;14;1605
610036;e8c4e27de2d1d83a6f42b3ca231036f3;2;Henkilöauto;;;17;1399
610036;ee509a9dc8fe08fdc6ae782c5fbfd75d;1;Henkilöauto;;;;
610037;3158c97fcda20612858cb357cd160615;2;Kuorma-auto;;;;
610037;4735a1c05a003d77edc138fd4107a1ed;1;Henkilöauto;;;16;1880
610038;1517fbd7344c6029bb5ebc63effd1ab0;1;Henkilöauto;;;16;
610039;7a483455320973dd9a21754a9c1857d1;1;Henkilöauto;;;2;1431
610040;5aa30e9543591b785cdd8f0edeb451cd;1;Henkilöauto;;;18;
610040;78864fa51763eb18d8fce0478d4b5889;2;Peura, Kauris;;;;
610041;bf0e8abc60d7e60ea228f7fb893de27a;2;Henkilöauto;;;17;
610041;dc38cda2d1b87ed3a68c752bb3000d94;1;Henkilöauto;;;9;
610042;;;;;;;
