OnnettomuusID;Tienpitäjä;Tieosoite;Ajorata;Tie;Osa;Etaisyys;x-koordinaatti;y-koordinaatti;Liikennevalot;ELY-keskus;Maakunta ;Kunta;Katuosoite;Vuosi;Kuukausi;Onnettomyystyyppi;Onnettomuustyyppi nro;Vakavuus;Osallisten lkm;Onnettomuusluokka;Raskaan liikenteen onnettomuus;Tietyö;Onnettomuuspaikka;Liittymäjärjestelyt;Viikonpäivä;Pinta;Valoisuus;Lämpötila;Sää;Nopeusrajoitus;Verkollinen asema;Päällyste;Talvihoitoluokitus;Toiminallinen luokka korjattu;Rautatie;Taajama;KVL;KVL raskas;Näkemä% yli 150;Näkemä% yli 300;Näkemä% yli 450;Näkemän pituus
620587;Kunta;-;-;-;-;-;383804;6677861;-;;;;ILKANTIE X METSÄLÄNTIE;2023;1;vastakkaiset ajosuunnat muu törmäys käännyttäessä oikealle;36;Loukkaantumiseen johtanut;2;kääntymisonnettomuus;ei;ei;ajorata;kärkikolmio;su;jäinen;tie valaistu;2;kirkas;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620588;Väylävirasto;20.6.2500;0;20;6;2500;444876;7224084;-;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Oulu;Kuusamontie;2023;1;ohitus;0;Ei henkilövahinkoja;2;ohitusonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;luminen;pimeä (valaisematon);−1;lumisade;80;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;3 970;494;99;92;68;
620589;Väylävirasto;261/6/2322;0;261;6;2322;281069;6857041;-;Pirkanmaan ELY;Pirkanmaa;Ikaalinen;JÄMIJÄRVENTIE;2023;1;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;ei;ei;ajorata;linjaonnettomuus;su;-;pimeä (valaisematon);−5;pilvipouta;80;-;kestopäällyste;Ib;Seututie;Ei tasoristeystä;ei;1 512;132;93;49;22;
620590;Väylävirasto;65/6/436;0;65;6;436;317770;6847910;-;Pirkanmaan ELY;Pirkanmaa;Ylöjärvi;UUSI-KURUNTIE;2023;1;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;ei;ei;ajorata;linjaonnettomuus;su;jäinen;pimeä (valaisematon);−5;kirkas;80;-;kestopäällyste;Is;Kantatie;Ei tasoristeystä;ei;3 873;279;73;31;8;
620591;Väylävirasto;120/4/1101;0;120;4;1101;378049;6684830;-;Uudenmaan ELY;Uusimaa;Vantaa;Vihdintie;2023;1;suistuminen vasemmalle suoralla;81;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;-;pimeä (valaisematon);−1;raesade;80;-;kestopäällyste;Is;Seututie;Ei tasoristeystä;ei;9 027;418;85;48;14;
620592;Väylävirasto;833/1/297;0;833;1;297;436025;7216070;-;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Oulu;Ylikiimingintie x Välikyläntie;2023;1;peräänajo käännyttäessä oikealle;10;Ei henkilövahinkoja;2;kääntymisonnettomuus;ei;ei;ajorata;kärkikolmio;su;luminen;tie valaistu;−1;pilvipouta;50;Tieto puuttuu;kestopäällyste;Ib;Seututie;Ei tasoristeystä;ei;1 927;111;;;;
620593;Väylävirasto;18/45/2077;0;18;45;2077;408273;6904493;-;Keski-Suomen ELY;Keski-Suomi;Petäjävesi;PETÄJÄVEDENTIE X TIILIMAANTIE;2023;1;suistuminen vas. vasemmalle kääntyvässä kaart.;85;Kuolemaan johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;jäinen;pimeä (valaisematon);−4;pilvipouta;80;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;4 758;448;100;58;21;
620594;Väylävirasto;697/7/4726;0;697;7;4726;322161;6964608;-;Etelä-Pohjanmaan ELY;Etelä-Pohjanmaa;Kuortane;SEINÄJOENTIE;2023;1;suistuminen tieltä risteyksessä;86;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;urissa vettä;pimeä (valaisematon);2;vesisade;60;Tieto puuttuu;kestopäällyste;Ib;Seututie;Ei tasoristeystä;ei;2 531;248;99;82;56;
620595;Väylävirasto;815/2/4159;0;815;2;4159;426389;7202766;-;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Kempele;LENTOKENTÄNTIE;2023;1;suistuminen vasemmalle suoralla;81;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;jäinen;tie valaistu;1;kirkas;60;Läpikulku-/sisääntulotie kaava-alueella;kestopäällyste;Is;Seututie;Ei tasoristeystä;ei;14 726;370;98;90;82;
620596;Väylävirasto;79/34/1789;0;79;34;1789;407924;7519951;-;Lapin ELY;Lappi;Kittilä;LEVINTIE, IMMELLOMPOLA;2023;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;luminen;tie valaistu;−3;lumisade;100;-;kestopäällyste;Ib;Kantatie;Ei tasoristeystä;ei;4 626;272;96;71;40;
620599;Kunta;-;-;-;-;-;483492;6748184;-;;;;SALPAUSSELÄNKATU;2023;1;kaistanvaihto vasemmalle;3;Ei henkilövahinkoja;2;ohitusonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, märkä;tie valaistu;2;pilvipouta;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620600;Väylävirasto;15710/1/2405;0;15710;1;2405;640780;6951648;-;Pohjois-Savon ELY;Pohjois-Karjala;Kontiolahti;JAAMANKANKAANTIE;2023;1;suistuminen oik. vasemmalle kääntyvässä kaarteessa;84;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;jäinen;pimeä (valaisematon);6;vesisade;60;-;kestopäällyste;Ic;Yhdystie;Ei tasoristeystä;ei;1 466;55;;;;
620601;Kunta;-;-;-;-;-;328068;6823227;-;;;;LAPINTIE 9;2023;1;kääntyminen oikealle toisen eteen tai kylkeen;50;Loukkaantumiseen johtanut;2;risteämisonnettomuus;ei;ei;ajorata;kärkikolmio;su;jäinen;tie valaistu;−1;pilvipouta;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620602;Väylävirasto;20/14/9622;0;20;14;9622;491989;7239580;-;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Pudasjärvi;OULUNTIE TAIPALEENHARJU;2023;1;suistuminen vasemmalle suoralla;81;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;ajourat paljaat;pimeä (valaisematon);7;kirkas;80;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;3 359;327;100;96;44;
620603;Kunta;-;-;-;-;-;322449;6828680;-;;;;SIIVIKKALANTIE X SALORINTEENTIE;2023;1;jalankulkija suojatiellä ennen risteystä;60;Loukkaantumiseen johtanut;2;jalankulkijaonnettomuus;ei;ei;suojatie;kärkikolmio;su;jäinen;päivänvalo;−1;kirkas;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620605;Väylävirasto;1605/1/1483;0;1605;1;1483;427181;6697867;-;Uudenmaan ELY;Uusimaa;Porvoo;WERNER SÖDERSTRÖMIN KATU;2023;1;suistuminen vasemmalle suoralla;81;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;jäinen;hämärä;3;pilvipouta;50;Tieto puuttuu;kestopäällyste;Is;Yhdystie;Ei tasoristeystä;kyllä;6 126;313;77;22;6;
620606;Väylävirasto;7/27/2348;1;7;27;2348;492624;6706910;-;Kaakkois-Suomen ELY;Kymenlaakso;Kotka;VT 7 MOOTTORITIE;2023;1;suistuminen oikealle suoralla;80;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, märkä;tie valaistu;4;pilvipouta;100;Tieto puuttuu;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;10 870;1 106;;;;
620607;Väylävirasto;19143/1/3705;0;19143;1;3705;557616;7117793;-;Pohjois-Pohjanmaan ELY;Kainuu;Sotkamo;PIKKUKYLÄNÄTIE - HUUSKONNIEMENTIE;2023;1;suistuminen tieltä risteyksessä;86;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;jäinen;päivänvalo;−2;pilvipouta;80;-;sora;III;Yhdystie;Ei tasoristeystä;ei;58;4;;;;
620610;Kunta;-;-;-;-;-;326086;6818716;-;;;;Ilmailunkatu;2023;1;kääntyminen vasemmalle toisen eteen tai kylkeen;52;Ei henkilövahinkoja;0;risteämisonnettomuus;ei;ei;ajorata;kärkikolmio;su;jäinen;päivänvalo;−1;pilvipouta;60;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;ei;;;;;;
620611;Kunta;-;-;-;-;-;299423;6989477;-;Keski-Suomen ELY;;;SIMPSIÖNTIE;2023;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;jäinen;tie valaistu;−2;pilvipouta;50;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;ei;;;;;;
620612;Kunta;-;-;-;-;-;534866;6973426;-;;;;KUNINKAANKATU X KIRKKOKATU;2023;1;kääntyminen oikealle toisen eteen tai kylkeen;50;Loukkaantumiseen johtanut;2;risteämisonnettomuus;ei;ei;ajorata;tasa-arvo;su;jäinen;tie valaistu;−2;kirkas;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620613;Kunta;-;-;-;-;-;226669;6830050;-;;;;RUOSNIEMENTIE;2023;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;jäinen;pimeä (valaisematon);−4;kirkas;50;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620615;Väylävirasto;88/20/1952;0;88;20;1952;469482;7107078;-;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Pyhäntä;IISALMENTIE;2023;1;kohtaaminen suoralla;20;Ei henkilövahinkoja;2;kohtaamisonnettomuus;kyllä;ei;ajorata;linjaonnettomuus;ma;jäinen;tie valaistu;−5;pilvipouta;80;-;kestopäällyste;Ib;Kantatie;Ei tasoristeystä;ei;971;181;100;99;91;
620616;Väylävirasto;8881/1/112;0;8881;1;112;558520;7153219;-;Pohjois-Pohjanmaan ELY;Kainuu;Ristijärvi;SAUKONTIE;2023;1;kääntyminen vasemmalle toisen eteen tai kylkeen;52;Ei henkilövahinkoja;2;risteämisonnettomuus;ei;ei;ajorata;kärkikolmio;ma;jäinen;hämärä;−4;pilvipouta;40;Läpikulku-/sisääntulotie kaava-alueella;kestopäällyste;Ic;Yhdystie;Ei tasoristeystä;ei;1 327;42;81;22;1;
620617;Väylävirasto;4/528/3551;0;4;528;3551;489140;7500152;-;Lapin ELY;Lappi;Sodankylä;IVALONTIE;2023;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;luminen;pimeä (valaisematon);−4;kirkas;100;-;kestopäällyste;Ib;Valtatie;Ei tasoristeystä;ei;1 088;139;100;95;77;
620618;Väylävirasto;5/336/3299;0;5;336;3299;596465;7246312;-;Pohjois-Pohjanmaan ELY;Kainuu;Suomussalmi;VIITOSTIE;2023;1;kohtaaminen suoralla;20;Loukkaantumiseen johtanut;2;kohtaamisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;jäinen;päivänvalo;−6;pilvipouta;100;-;kestopäällyste;Ib;Valtatie;Ei tasoristeystä;ei;830;71;100;92;42;
620619;Kunta;-;-;-;-;-;388072;7294347;-;Pohjois-Pohjanmaan ELY;;;Koivuharjunkatu;2023;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;0;muu onnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;jäinen;tie valaistu;−15;pilvipouta;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620620;Kunta;-;-;-;-;-;223466;6828167;-;;;;PAANAKEDONKATU X LINNANSILTA;2023;1;peräänajo jarruttavaan ajoneuvoon;6;Ei henkilövahinkoja;2;peräänajo-onnettomuus;ei;ei;ajorata;muu risteys;ma;jäinen;päivänvalo;−5;pilvipouta;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620621;Kunta;-;-;-;-;-;603334;6956867;-;;;;SUUTARINKATU 18;2023;1;muu kohtaamisonnettomuus, ei kääntymistä;29;Ei henkilövahinkoja;2;kohtaamisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;jäinen;tie valaistu;−8;pilvipouta;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
620622;Väylävirasto;77/23/2616;0;77;23;2616;482754;7008161;-;Pohjois-Savon ELY;Pohjois-Savo;Pielavesi;KEITELEENTIE;2023;1;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;jäinen;pimeä (valaisematon);−8;kirkas;80;-;kestopäällyste;Ib;Kantatie;Ei tasoristeystä;ei;1 713;240;100;100;57;
620623;Väylävirasto;75/21/4946;0;75;21;4946;601491;7049637;-;Pohjois-Savon ELY;Pohjois-Karjala;Nurmes;KUOPIONTIE;2023;1;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;jäinen;tie valaistu;−8;kirkas;80;-;kestopäällyste;Ib;Kantatie;Ei tasoristeystä;ei;4 557;394;100;93;60;
620624;Väylävirasto;4/413/1131;2;4;413;1131;424976;7257210;-;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Ii;Kemintie;2023;1;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;jäinen;päivänvalo;−9;kirkas;80;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;7 942;1 180;;;;
620625;Väylävirasto;24607/12/3;0;24607;12;3;496391;6708891;ei toiminnassa;Kaakkois-Suomen ELY;Kymenlaakso;Kotka;ETELÄINEN KARJALANTIE;2023;1;jk suojatiellä, ajoneuvo kääntyi vasemmalle;62;Loukkaantumiseen johtanut;2;jalankulkijaonnettomuus;ei;ei;suojatie;liikennevalot;ma;jäinen;päivänvalo;−2;kirkas;40;Tieto puuttuu;kestopäällyste;Is;Valtatie;Ei tasoristeystä;kyllä;2 000;73;;;;
620626;Väylävirasto;261/4/3534;0;261;4;3534;276126;6862042;-;Varsinais-Suomen ELY;Satakunta;Jämijärvi;Ikaalistentie;2023;1;kohtaaminen kaarteessa;21;Ei henkilövahinkoja;2;kohtaamisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;jäinen;pimeä (valaisematon);−3;pilvipouta;80;-;kestopäällyste;Ib;Seututie;Ei tasoristeystä;ei;1 426;143;87;37;5;
