OnnettomuusID;Tekninen osallinen ID;Osallisen numero;Osallisen lajikoodi;Perävaunukoodi;Ajolaji;Ajoneuvon ikä;Ajoneuvon massa
620587;086d5d4df11974471322a9b51c5bdf2d;1;Henkilöauto;Ei tietoa/arvoa;-;16;1100
620587;a9e0f386410c798ef54cb8ef08ab067e;2;Henkilöauto;Ei tietoa/arvoa;-;8;1548
620588;3adfc7900a86e5e2de8c7642a1c8ebc2;1;Henkilöauto;Ei tietoa/arvoa;-;8;1670
620588;90f6e090694fce45206e6c6319d7961d;2;Henkilöauto;Ei tietoa/arvoa;-;15;1428
620589;1bcedfe725facfa192e3baf17004be0b;2;Hirvi;Ei tietoa/arvoa;-;-;-
620589;e74967ee4b206c7ee3a7128e8eb724f3;1;Henkilöauto;Ei tietoa/arvoa;-;0;1773
620590;49f4afa8f03ff2d1a695ca12137fdd9e;1;Henkilöauto;Ei tietoa/arvoa;-;3;1369
620590;a7cfe326b97debd6a5a12cf11abba476;2;Hirvi;Ei tietoa/arvoa;-;-;-
620591;77fe3f70151ef162035b6a49e6ebc37c;1;Henkilöauto;Ei tietoa/arvoa;-;-;-
620592;69d7f7be61779858187859b2a01ce464;2;Henkilöauto;Ei tietoa/arvoa;-;5;1385
620592;dd9409bdee2922b0d01d0cf4c8ea5940;1;Henkilöauto;Ei tietoa/arvoa;-;22;1692
620593;e063ee4afd67552f8e6be5cc25daf4e1;1;Henkilöauto;Ei tietoa/arvoa;-;-;-
620594;dc30cbab8cf68bab976be75dd08eeaa1;1;Pakettiauto;Ei tietoa/arvoa;-;-;-
620595;70d2e9c98807a569810cef60bcf98794;1;Henkilöauto;Ei tietoa/arvoa;-;16;1780
620596;47fd30a03dcc3206d3115e7b017057c6;1;Henkilöauto;Ei tietoa/arvoa;-;25;1160
620599;930a02f9767a4ec06d8daa9e17efef57;2;Henkilöauto;Ei tietoa/arvoa;-;3;1783
620599;f92f474f77a224456784f3e2b29f3d3c;1;Henkilöauto;Ei tietoa/arvoa;-;1;1477
620600;ba7e91a263c48287f20d8cc7184a7238;1;Henkilöauto;Ei tietoa/arvoa;-;9;1715
620601;72c3f38d433fa14ef419f17064b2c279;3;Pakettiauto;Ei tietoa/arvoa;-;17;1930
620601;7690ca5d8b865a84501139ce941cea42;1;Henkilöauto;Ei tietoa/arvoa;-;5;1925
620602;9cb63eccf154c0b945cc2418ed5dd583;1;Henkilöauto;Ei tietoa/arvoa;-;20;1268
620603;0e270d2c9b93eb55b189da83ed92b935;2;Jalankulkija;Ei tietoa/arvoa;-;-;-
620603;f6c067a9afb8e766569f8d232f8a6485;1;Henkilöauto;Ei tietoa/arvoa;-;2;2295
620605;45a7429cecaade5a5e609a3281169b84;1;Henkilöauto;Ei tietoa/arvoa;-;21;1278
620606;915fa840842742284d66e04ddb2dd8a4;1;Henkilöauto;Ei tietoa/arvoa;-;6;1055
620607;4d624d0075d81b3722e6cca42440e51b;1;Henkilöauto;Ei tietoa/arvoa;-;26;1315
620610;;-;-; ;-;-;-
620611;14a8282d249ee5ed29b90c11d1a180fd;1;Pakettiauto;Ei tietoa/arvoa;-;16;1840
